,DEPT,GR,SP,RHOB,DPHI,NPHI,VSHALE,PHIT,PHIE
17,253.5,61.6641,-164.3382,1.6784,0.603267,0.337633,0.018200696722563272,0.48883898984123597,0.47994177964097146
18,254.0,59.2702,-165.8443,1.7052,0.587604,0.329204,0.009000049176822695,0.4762634430816625,0.47197704867280466
19,254.5,57.2798,-166.7233,1.7203,0.5788,0.32488799999999995,0.003630306667888453,0.4693408423225066,0.46763699113311086
20,255.0,57.4916,-166.932,1.7243,0.576429,0.32412100000000005,0.0023553746296466425,0.4676135234795931,0.46651211844990964
21,255.5,60.3113,-166.5964,1.7218,0.577877,0.32639,0.004405528879929177,0.4692932234909215,0.4672257386416772
22,256.0,62.5072,-165.9453,1.7171,0.580662,0.33142699999999997,0.008383048046672116,0.4727643253107197,0.46880111925688744
23,256.5,59.1651,-165.2281,1.7132,0.58294,0.338669,0.012764366962949285,0.47671570939135205,0.4706307351396782
24,257.0,53.5738,-164.6232,1.7123,0.583475,0.34729,0.016459653929564118,0.48013197129799634,0.47222916520991187
25,257.5,52.2452,-164.1757,1.7155,0.581584,0.356581,0.0191933965606768,0.48238467980285193,0.47312607934860074
26,258.0,53.8709,-163.8163,1.7236,0.576827,0.365916,0.021388943156479934,0.483023760794953,0.4726923930320806
27,258.5,55.3261,-163.4666,1.737,0.569004,0.37491599999999997,0.023525233208100405,0.4818337675339909,0.4704985157852161
28,259.0,56.2415,-163.1344,1.755,0.5584640000000001,0.38378500000000004,0.025554617123308566,0.4791518368539351,0.46690729511920276
29,259.5,56.7808,-162.8646,1.7761,0.546131,0.392682,0.02720280430068114,0.4756354813746552,0.4626968624563602
30,260.0,57.9354,-162.5396,1.7981,0.533292,0.400203,0.029188203976908203,0.4714672833150779,0.45770600008123863
31,260.5,58.2505,-161.6875,1.8183,0.521474,0.40307200000000004,0.03439361648187174,0.46604837187785564,0.4500192829134879
32,261.0,56.7705,-159.5323,1.8341,0.5122249999999999,0.397964,0.047559565350193976,0.4586664343076567,0.4368524580512612
33,261.5,55.1345,-155.4158,1.8444,0.506181,0.38400199999999995,0.07270694309539086,0.44926425451230817,0.4165996239246886
34,262.0,49.5887,-149.4442,1.8529,0.501215,0.36426000000000003,0.10918698219249215,0.4381220285633901,0.3902848064325007
35,262.5,38.6859,-142.8455,1.8697,0.491375,0.345221,0.14949792632639974,0.4246333297481487,0.36115152750172613
36,263.0,28.9754,-137.5032,1.9023,0.472364,0.332278,0.18213362075811723,0.4083726348446967,0.3339942482418996
37,263.5,23.6109,-134.8116,1.9432,0.448407,0.326451,0.19857639543052627,0.3921983509972983,0.31431701616245844
38,264.0,20.2952,-134.8384,1.9787,0.427641,0.32541,0.19841267631876347,0.37997927113265006,0.3045865670015679
39,264.5,18.5347,-136.5827,2.0003,0.41501899999999997,0.325141,0.18775688353340056,0.3727984980133369,0.30280301384042013
